id,user_id,product_id,interaction_type,rating,timestamp
1,369,482,view,,2026-01-03 01:28:26.726571
2,369,482,view,,2025-12-31 01:28:26.727140
3,369,934,rating,4.0,2025-12-29 01:28:26.727535
4,369,165,view,,2025-11-24 01:28:26.727908
5,369,608,view,,2025-12-26 01:28:26.728326
6,369,482,view,,2025-12-17 01:28:26.728714
7,490,5,view,,2025-12-14 01:28:26.729080
8,369,165,view,,2025-12-26 01:28:26.729446
9,369,202,purchase,,2025-10-13 01:28:26.729855
10,369,5,purchase,,2025-11-25 01:28:26.730234
11,369,202,view,,2025-12-02 01:28:26.730591
12,369,608,view,,2025-11-23 01:28:26.730952
13,369,482,purchase,,2025-12-10 01:28:26.731316
14,369,5,view,,2025-12-04 01:28:26.731672
15,369,165,view,,2025-10-18 01:28:26.732055
16,369,5,view,,2025-12-17 01:28:26.732440
17,369,202,view,,2025-12-21 01:28:26.732905
18,369,482,rating,2.0,2025-10-13 01:28:26.733300
19,369,5,view,,2025-10-13 01:28:26.733726
20,369,482,view,,2025-11-01 01:28:26.734152
21,369,5,view,,2025-10-27 01:28:26.734570
22,369,482,view,,2025-12-24 01:28:26.734929
23,369,165,view,,2025-10-12 01:28:26.735278
24,369,482,view,,2025-11-23 01:28:26.735622
25,369,482,rating,3.0,2025-11-03 01:28:26.735969
26,369,482,purchase,,2026-01-04 01:28:26.736535
27,369,165,view,,2025-10-14 01:28:26.737476
28,369,165,view,,2025-11-23 01:28:26.737878
29,369,372,view,,2025-12-01 01:28:26.738230
30,369,165,purchase,,2025-12-15 01:28:26.738592
31,369,165,view,,2025-11-30 01:28:26.738941
32,369,165,view,,2025-10-29 01:28:26.739318
33,369,482,view,,2025-11-30 01:28:26.739675
34,369,482,view,,2025-11-13 01:28:26.740064
35,369,372,view,,2025-12-01 01:28:26.740417
36,369,165,view,,2025-12-18 01:28:26.740763
37,369,165,rating,3.0,2025-10-08 01:28:26.741125
38,369,165,view,,2025-12-11 01:28:26.741470
39,369,165,rating,5.0,2025-11-28 01:28:26.741817
40,369,5,view,,2025-11-18 01:28:26.742216
41,369,482,view,,2025-10-30 01:28:26.742563
42,369,482,view,,2025-10-13 01:28:26.742912
43,369,688,view,,2025-11-21 01:28:26.743275
44,369,202,view,,2025-11-09 01:28:26.743666
45,369,5,purchase,,2025-11-23 01:28:26.744021
46,369,165,view,,2025-10-20 01:28:26.744426
47,369,5,purchase,,2025-12-29 01:28:26.744791
48,369,482,view,,2025-11-20 01:28:26.745148
49,369,482,view,,2025-11-28 01:28:26.745490
50,369,165,view,,2025-10-30 01:28:26.745831
51,369,832,purchase,,2025-11-20 01:28:26.746172
52,369,165,view,,2026-01-04 01:28:26.746512
53,487,591,purchase,,2026-01-03 01:28:26.746853
54,369,165,purchase,,2025-11-17 01:28:26.747235
55,369,165,view,,2025-11-30 01:28:26.747584
56,369,482,purchase,,2025-10-31 01:28:26.747929
57,461,5,purchase,,2025-12-06 01:28:26.748275
58,369,482,view,,2025-12-07 01:28:26.748646
59,369,5,view,,2025-12-13 01:28:26.749007
60,397,482,view,,2025-11-04 01:28:26.749517
61,369,482,view,,2025-12-03 01:28:26.749947
62,397,202,purchase,,2025-11-25 01:28:26.750793
63,369,165,view,,2025-10-08 01:28:26.751661
64,369,5,purchase,,2025-11-15 01:28:26.752150
